U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
0,0.28797185038687,-0.0106836826406024,7.36910790200854e-05,0.00670611119422175,0.0461691481834024,-0.000940224501900574,5.21129349817156,10.0955570127726,1,0,0,0,0,0,0,18.8402954654145,13.5350107215658,0.0163465333427771,-0.00493203806424863,0.00299508045235417,0.0221353184680004,-0.00499666292536246,0.00288597747627727,307572.513632853,592428.781221048,11902.0814939505,911903.376347852
1,0.28740345716528,-0.0104306401908213,5.10731330805251e-06,0.00423103386354982,0.0478028352351565,-0.000900575297951353,5.25636742410529,10.0682150851094,1,0,0,0,0,0,0,18.7020221603286,13.5034419703566,0.0163776951366061,-0.00520269692872053,0.000447679113804597,0.0220853420931463,-0.00518787518205365,0.000394256560605917,309522.496351484,590291.639931778,11902.0834021399,911716.219685402
2,0.286555323515548,-0.0101304649110353,-5.64998913625124e-05,0.00177095134359917,0.0493515942817666,-0.000856401322309556,5.30163407138989,10.015673354421,1,0,0,0,0,0,0,18.5136373403081,13.435542638381,0.0164028892023519,-0.00546667475278254,-0.00208566867403684,0.0220320019590288,-0.00537757829823141,-0.00208348102093144,311508.59048084,587074.509963964,11902.0896051782,910485.190049982
3,0.28544170127231,-0.00978815593049898,-0.000106469556325326,-0.000664709435480816,0.0507924118787892,-0.000805023323644998,5.34573808301826,9.93740730954247,1,0,0,0,0,0,0,18.2777721861501,13.3323992287492,0.0164223675342238,-0.00571971021457179,-0.00459176464641703,0.0219755217824224,-0.00556302538510672,-0.00453379057637422,313485.802655741,582761.721709333,11902.1007673577,908149.625132431
4,0.284078821520211,-0.00940877955394528,-0.000140584681243757,-0.00306616956577636,0.0521032273949135,-0.000744182101122295,5.38706250678744,9.83313492508885,1,0,0,0,0,0,0,17.9972853690142,13.195328644234,0.0164364543773354,-0.00595783753129714,-0.00705639571678049,0.0219161347647571,-0.00574156040748438,-0.00694230343916907,315400.419484849,577347.688111016,11902.1174363715,904650.225032236
5,0.28248515664357,-0.00899729783784445,-0.000155236918482781,-0.00542322403175367,0.0532632477141793,-0.000672128695969513,5.42378169945732,9.7028590903575,1,0,0,0,0,0,0,17.6752694920943,13.025975066825,0.0164456066238676,-0.0061774536794824,-0.00946419704361687,0.0218540334155803,-0.00591068944639067,-0.00929360552321891,317192.303688348,570837.541179789,11902.1399876731,899931.98485581
6,0.280681751405588,-0.0085584522625014,-0.000147624057410415,-0.00772525126952123,0.0542533895257757,-0.000587731115072409,5.45393388226227,9.54692097763898,1,0,0,0,0,0,0,17.3150805581268,12.826411926087,0.0164504739664213,-0.00637539632608333,-0.0117986542037372,0.0217893211999354,-0.00606816346704311,-0.0115712564568952,318797.863270619,563248.405873776,11902.1685744681,893948.437718863
7,0.278692593930567,-0.00809671841327586,-0.000115976965392145,-0.0099613349823984,0.0550568613345367,-0.000490596464421155,5.47551665991551,9.36606041146949,1,0,0,0,0,0,0,16.9203899645608,12.5992414282098,0.0164519551731867,-0.00654903566723181,-0.0140422906793084,0.0217219684397817,-0.00621207011803929,-0.0137579949883049,320153.749986065,554611.251865985,11902.203089284,886667.204941334
8,0.276544968261487,-0.00761633791997816,-5.98010744007491e-05,-0.0121205262079605,0.0556598729776511,-0.000381199348986107,5.48660675542358,9.16147492836234,1,0,0,0,0,0,0,16.4952526149375,12.3476803897919,0.0164512451629585,-0.00669638099513833,-0.0161770869575479,0.0216517756376362,-0.00634092903067142,-0.0158361748880376,321201.252734306,544973.071089113,11902.2431436154,878076.566967034
9,0.274267875672837,-0.00712167640147556,1.99432035607902e-05,-0.0141921453732883,0.0560521460115892,-0.000260966565271784,5.48547962385708,8.93512633875105,1,0,0,0,0,0,0,16.0440039257311,12.0752353404042,0.0164496453315031,-0.00681616261382065,-0.0181850962508702,0.0215785067024701,-0.00645376647887407,-0.0177883930815565,321888.307720884,534414.004656413,11902.2880694241,868204.600446721
10,0.271884017529587,-0.00661832796403148,0.000121000687789098,-0.0161656310100815,0.0562261095851592,-0.000132102191533075,5.47065168879765,8.69071976871712,1,0,0,0,0,0,0,15.570521166253,11.7840432197421,0.0164475770214432,-0.00690772927550382,-0.0200488663249316,0.0215025999984834,-0.00655009386440206,-0.0195978962417381,322161.054237858,523105.99272784,11902.3369317821,857169.38389748
11,0.269414742862968,-0.00611212853169402,0.000239981249934283,-0.0180310359629244,0.0561775488342234,2.6051778573026e-06,5.44104436446478,8.43251334241942,1,0,0,0,0,0,0,15.0786755540293,11.475952119405,0.0164451380468383,-0.00697109841154506,-0.0217521373995155,0.021424777266825,-0.00662994018079059,-0.021249213587192,321974.87721286,511249.326944681,11902.3885666217,845126.592724163
12,0.266882387600737,-0.00560868145761812,0.000372601235192647,-0.0197795935878824,0.0559061829845858,0.0001399572232976,5.3961074126376,8.16472735637018,1,0,0,0,0,0,0,14.5725492169443,11.1530463792253,0.0164423772694616,-0.00700700953803007,-0.0232806773802335,0.0213458446767991,-0.0066938888362652,-0.0227289352563532,321301.561268401,499041.445351653,11902.4416401135,832245.448260168
13,0.264309766331376,-0.0051132742766571,0.000514066449138206,-0.0214041602796117,0.0554157286506669,0.000276593629626918,5.33587230132548,7.89141263499184,1,0,0,0,0,0,0,14.0563681042098,10.8175798862972,0.0164392464240793,-0.00701690546531554,-0.0246230598577809,0.0212667194910069,-0.0067430720413223,-0.0240264288372075,320131.086454666,486671.455359758,11902.4947195404,818705.036533965
14,0.261719581534329,-0.00463075374599104,0.000659517725611284,-0.0228996109969287,0.0547137218022104,0.000409273350142188,5.26095164893377,7.61633430342658,1,0,0,0,0,0,0,13.5344052344268,10.471899706474,0.016435560554064,-0.00700286746404471,-0.0257713411672767,0.0211884454284059,-0.00677913142359013,-0.0251344505927066,318471.837204386,474315.180267144,11902.5463491036,804689.563820633
15,0.259133774631751,-0.00416537221280339,0.000804479266626792,-0.0242631317817079,0.0538110871673699,0.000535151078619737,5.17248166607995,7.34287940831512,1,0,0,0,0,0,0,13.0108586332625,10.1183620343962,0.0164309700960618,-0.00696750137098681,-0.0267215377551419,0.0211121948273095,-0.00680414600729916,-0.0260495620090437,316349.094106897,462131.106970988,11902.5951219619,790382.796199847
16,0.256572863380522,-0.0037206264920915,0.00094524589179869,-0.0254943611648079,0.0527214809741441,0.000652007962828726,5.07201531720985,7.07399322895954,1,0,0,0,0,0,0,12.4897143919222,9.75924487403918,0.0164249463698966,-0.00691377891865028,-0.0274738233237601,0.0210392576222114,-0.00682053344941497,-0.0267722806237213,313802.001866632,450257.485869951,11902.6397408431,775962.127477426
17,0.25405711312881,-0.00329871882872606,0.00107885679521593,-0.0265957451902332,0.0514610497617367,0.000758187424666603,4.9615045692074,6.81192622898092,1,0,0,0,0,0,0,11.9746830446605,9.3971489754707,0.0164172356844976,-0.006844942965335,-0.0280327987833057,0.0209706236099346,-0.00683092750878141,-0.0273073588236588,310888.002097935,438795.120281432,11902.6790808975,761585.801460265
18,0.251610125989557,-0.00289999410340887,0.00120235869974177,-0.0275735087651291,0.0500490389441853,0.000852035837861265,4.84340453748384,6.55785151198024,1,0,0,0,0,0,0,11.4693180074044,9.03597469726377,0.0164089247960934,-0.00676460580854971,-0.0284083112144466,0.0209060334953339,-0.0068379800364907,-0.0276647018958049,307696.379559971,427778.3913745,11902.7122781695,747377.483212641
19,0.249253900767179,-0.00252452596815925,0.00131331854673143,-0.0284367472889833,0.0485056358103366,0.000932272974502431,4.72019929283043,6.31257916249613,1,0,0,0,0,0,0,10.9768226478117,8.67954784010799,0.0164013469710635,-0.00667643925981667,-0.0286143109412902,0.0208449057041383,-0.00684413458999625,-0.0278581875837841,304320.584313572,417223.549271358,11902.7387204265,733446.872305356
20,0.247007133982416,-0.0021724131270445,0.00141000086375005,-0.0291966784944471,0.0468505795453815,0.000998129794023387,4.59420274677219,6.0766970670528,1,0,0,0,0,0,0,10.4999033380608,8.33119486274351,0.0163957805181202,-0.00658395134770736,-0.028667708491799,0.020786581472457,-0.00685146025764507,-0.0279045196254736,300848.276558731,407139.03456062,11902.7580251574,719890.069144508
21,0.244884946605605,-0.00184375568249474,0.00149132506431492,-0.0298659963704199,0.0451022230365525,0.00104932629758511,4.46747348054376,5.85056592391604,1,0,0,0,0,0,0,10.0407045004034,7.99368010373811,0.0163934372070459,-0.00649034681336437,-0.0285872914338397,0.020730328888258,-0.00686153399498922,-0.0278221673417555,297358.155605594,397525.296642462,11902.7700090508,706786.222257107
22,0.242898904504937,-0.00153864011025852,0.00155677135577823,-0.0304582301097354,0.0432769816374407,0.00108601074146189,4.34176623362385,5.63433012998129,1,0,0,0,0,0,0,9.60079627478321,7.66919430973629,0.0163954576511353,-0.00639843061318052,-0.0283926720479263,0.020675349795042,-0.00687536913022512,-0.0276303416498414,293918.119343932,388375.223678462,11902.7746543319,694196.117676725
23,0.241057276383807,-0.00125713316729136,0.00160625794203351,-0.0309871798032891,0.0413890841238313,0.00110867600034511,4.21851656121166,5.42794119382677,1,0,0,0,0,0,0,9.18120576905534,7.35938485981073,0.0164029119501343,-0.00631055388975842,-0.0281033767919253,0.020620789226756,-0.00689338583164763,-0.0273481140540648,290584.626611602,379675.066083914,11902.7720771769,682162.464772693
24,0.239365450939308,-0.000999284371046204,0.00164001597084847,-0.0314664714338859,0.0394505457585492,0.00111807177132914,4.09884988673996,5.23119052426227,1,0,0,0,0,0,0,8.78248055474714,7.06541231692489,0.0164167980876605,-0.00622859427933154,-0.0277381402715805,0.0205657521142507,-0.0069154159227189,-0.0269937370532155,287402.902748627,371405.798862215,11902.7625012332,670711.464112075
25,0.237826413204625,-0.000765374052684434,0.00165911069452939,-0.0319091420947572,0.037471195685736,0.00111555228292362,3.98343866166076,5.04391889128695,1,0,0,0,0,0,0,8.40501564965834,6.78774725000118,0.0164373817280302,-0.00615382119442073,-0.0273143509954372,0.0205099808723747,-0.00694093215424644,-0.0265840184585374,284396.49772579,363558.946358122,11902.7462183801,659858.190302292
26,0.236441204575256,-0.000555760551672599,0.00166603778945397,-0.0323273415040556,0.0354586972395547,0.00110343791923932,3.87241697694569,4.86617558287699,1,0,0,0,0,0,0,8.04930490273967,6.52602839419176,0.0164635557722486,-0.00608666797665093,-0.0268476887274116,0.0204545235228989,-0.00696939393854391,-0.0261338791937638,281559.866034832,356148.551418188,11902.7235497182,649611.141002738
27,0.235209554372557,-0.00037012340269556,0.00166355677712059,-0.03273246401538,0.0334186584152263,0.00108417116494111,3.76575909431342,4.69791063636703,1,0,0,0,0,0,0,7.71552863317422,6.27967175801244,0.0164940317866281,-0.00602688806407285,-0.0263521341806974,0.0204006115411037,-0.00700005526562628,-0.0256565413325918,278881.993612445,349184.48677303,11902.6948601604,639969.175245635
28,0.234130230963653,-0.000207529263039485,0.00165441988345046,-0.0331350357168024,0.0313551155731641,0.001060103698228,3.66334643350148,4.53896906789274,1,0,0,0,0,0,0,7.40357918576793,6.04798893750076,0.0165275024140234,-0.00597370839337773,-0.0258399344630497,0.0203494885027228,-0.00703205670763929,-0.0251635385115544,276349.872318482,342670.486153207,11902.6605738238,630923.019045513
29,0.233201288500288,-6.65892209553698e-05,0.0016412913139092,-0.0335436954886025,0.0292701712056024,0.00103337161705456,3.56499208824595,4.38912030824401,1,0,0,0,0,0,0,7.11313741921618,5.83022755389581,0.016562659483083,-0.0059266416897728,-0.0253212111542423,0.0203023896972762,-0.00706522558228865,-0.0246643570914563,273949.266947655,336605.451055005,11902.6211609145,622457.339163575
30,0.232420231443503,5.44178941708636e-05,0.00162666274465308,-0.033965540723616,0.0271644692624674,0.00100586262559565,3.47046879586625,4.24807920092245,1,0,0,0,0,0,0,6.8437098731274,5.62559424005209,0.0165982334017204,-0.00588530903990777,-0.0248041895182556,0.0202605096886009,-0.00709985249901089,-0.0241666703027325,271665.782897846,330984.320082989,11902.5771589508,614552.680139785
31,0.231779947013977,0.000157730687316622,0.00161205489699585,-0.0344047856256072,0.0250364309768353,0.000978703495176278,3.37968852228574,4.11539334823765,1,0,0,0,0,0,0,6.59376238355834,5.43293318106774,0.0166336452111421,-0.00584923260681361,-0.0242935037871009,0.0202242173680903,-0.00713602103538661,-0.0236747982235859,269496.06058926,325787.45170866,11902.5291718118,607186.041469732
32,0.231268469012534,0.000245774340030978,0.00159782311241217,-0.0348623864931138,0.0228823354996739,0.000952171483744495,3.29271252071014,3.99044912522711,1,0,0,0,0,0,0,6.36070453338206,5.25070633577204,0.0166691536682434,-0.00581803025563182,-0.023789932434689,0.0201929050629774,-0.00717347324975895,-0.0231894707388586,267448.410383371,320980.909515845,11902.4778925293,600331.797791745
33,0.230874532325775,0.000320581440190511,0.0015840730841526,-0.0353382162001955,0.0206979915764509,0.000926348882811202,3.20955220210039,3.87265200932157,1,0,0,0,0,0,0,6.142091534441,5.07744244701086,0.0167051087892791,-0.00579158717358586,-0.0232930177949316,0.0201659247321298,-0.00721210406170345,-0.0227102446456482,265529.403421379,316532.084784366,11902.4241638257,593963.91236957
34,0.230587922890723,0.000383816481869008,0.0015707618524485,-0.0358312873930059,0.0184788058232017,0.000901199016916929,3.13017549406752,3.76144320658437,1,0,0,0,0,0,0,5.93568979539926,4.91177042388939,0.0167419020768964,-0.00577013379852192,-0.0228014347803781,0.0201426553127168,-0.0072520589929883,-0.0222358491312984,263743.698161242,312410.821755378,11902.3690038636,588056.888920484
35,0.230399466162062,0.000436828990599834,0.00155773598941071,-0.0363397949796162,0.0162196967932525,0.000876595830244482,3.054521390288,3.6563032117154,1,0,0,0,0,0,0,5.73946539593096,4.75242044658286,0.0167799642571049,-0.00575432746660827,-0.0223131496255336,0.0201225120142593,-0.00729381558865766,-0.0217643360235103,262094.56391243,308589.514402261,11902.3136337371,582586.391948428
36,0.230301007012065,0.00048070126030527,0.00154476404355175,-0.0368611092279576,0.0139149578549577,0.000852347054232955,2.98251058705623,3.55675362529535,1,0,0,0,0,0,0,5.55157115476891,4.59822176549482,0.0168197635085374,-0.00574534833362915,-0.0218255251945979,0.0201049568143976,-0.00733828343459807,-0.021293178940131,260584.279056008,305043.144371544,11902.2595114048,577529.682938956
37,0.230285389957913,0.000516290542208601,0.00153156417015742,-0.0373917152231339,0.0115580644206992,0.000828211857286941,2.91405329894895,3.4623578410133,1,0,0,0,0,0,0,5.37033347794871,4.44809848351659,0.0168618049354855,-0.00574501811178889,-0.0213353764158716,0.0200895104412417,-0.0073869304509005,-0.0208193246508278,259214.441900909,301749.285797448,11902.2083752443,572865.936073602
38,0.230346511105015,0.000544261353603917,0.0015178295879237,-0.0379271221598961,0.00914143155074068,0.000803915464394373,2.8490548341822,3.37272113060676,1,0,0,0,0,0,0,5.19425015246084,4.30107260994715,0.0169066323094278,-0.00575595717630293,-0.0208390107409086,0.0200757682601837,-0.007441948580062,-0.0203392302679735,257986.20994353,298688.106796485,11902.1623020287,568576.479042044
39,0.230483368180197,0.000564849953737616,0.00150335570918961,-0.0384637875583409,0.00665730109680863,0.000779266593544777,2.78740258630056,3.28749389402998,1,0,0,0,0,0,0,5.02263615251915,4.15678987431897,0.016954839702453,-0.00578200721045129,-0.0203343839245206,0.0200635403993665,-0.00750658606702316,-0.0198509469415852,256899.525558015,295842.931685161,11902.1238010938,564644.58104427
40,0.23070211069042,0.000577805611132008,0.00148811363544073,-0.0390001236664011,0.00409789692087148,0.000754215170336821,2.72896532238754,3.20637401816145,1,0,0,0,0,0,0,4.85592689578484,4.01577909347198,0.0170070809944,-0.00582857849346533,-0.0198222210916142,0.0200529318504856,-0.00758547228732082,-0.019355203991194,255953.011660361,293200.506859751,11902.0958950086,561055.61441512
41,0.231009720541799,0.000582870290299115,0.00147209371276436,-0.0395329069563905,0.00145281774621123,0.000728672246203471,2.67362725820051,3.12910109309945,1,0,0,0,0,0,0,4.69461958072472,3.87860838361733,0.0170640744261425,-0.00590264162096662,-0.019302443254039,0.0200441682850416,-0.00768479878278362,-0.0188519519235255,255145.914059732,290750.08471225,11902.0822036047,557798.080975587
42,0.231413451379096,0.000579824809685407,0.00145529645608812,-0.0400562808974738,-0.00129181705335169,0.000702477864899926,2.62129010660593,3.05545250477426,1,0,0,0,0,0,0,4.53917653255358,3.74580885658651,0.0171266090804961,-0.00601321595653817,-0.0187735364536827,0.0200375865908726,-0.00781283673081699,-0.0183397510446495,254478.275643379,288483.16553235,11902.0871420789,554863.528317807
43,0.231919261452422,0.000568544864986068,0.00143773858228019,-0.0405603797669563,-0.00415127667275303,0.000675376909429687,2.57184354807668,2.98521374478188,1,0,0,0,0,0,0,4.38998421755562,3.61784563937641,0.0171953174133277,-0.00617190001339148,-0.0182320667405295,0.0200334261909331,-0.00798052397872301,-0.0178153040749718,253948.799954077,286391.036551821,11902.1161719817,552241.95267788
44,0.232532164050749,0.000549018956989173,0.00141942139968167,-0.0410339341492109,-0.00714086337658225,0.000647111631240459,2.52516566362156,2.91817840310788,1,0,0,0,0,0,0,4.247361691762,3.49512768106299,0.0172706718480539,-0.00639099654319401,-0.0176738451113876,0.0200318397056217,-0.00819958692470571,-0.01727456853334,253554.907295752,284464.862589477,11902.1760251361,549921.945910365
45,0.233257703139422,0.000521379873420819,0.00140025335621972,-0.0414720098587112,-0.0102722741225722,0.000617643082616571,2.48113203350234,2.85415932025179,1,0,0,0,0,0,0,4.11158259081333,3.37802945398619,0.0173530608457951,-0.00667818119874049,-0.0170972504148171,0.020033001366451,-0.00847717853198201,-0.0167159455215338,253293.412798821,282696.700536184,11902.2748185872,547892.388153592
46,0.234101699022499,0.000485859209745113,0.00138009368262801,-0.0418714544675159,-0.0135572689956852,0.000586988176126386,2.43961545463526,2.79298074494558,1,0,0,0,0,0,0,3.98287594373574,3.26689086242521,0.0174427873100534,-0.00703977202190867,-0.016501204335938,0.0200370652132889,-0.00881915863295279,-0.0161383322464103,253160.570587032,281078.948960258,11902.4222769182,546141.941824208
47,0.235070074955113,0.000442794722936932,0.00135875491395779,-0.0422304915192114,-0.0170076087302765,0.000555198339632899,2.40048171562759,2.73447256714521,1,0,0,0,0,0,0,3.86142369513606,3.16201734123658,0.0175400300500049,-0.00748095491111023,-0.0158850087478201,0.0200441270496622,-0.00923033691485366,-0.0155409636559941,253151.775795379,279603.920966665,11902.6299861569,544658.326748202
48,0.236166985589976,0.000392784124958996,0.00133600221981105,-0.0425502874056606,-0.020627860572037,0.000522404399116039,2.36357374166483,2.67846667811717,1,0,0,0,0,0,0,3.74734631432128,3.0636787869677,0.0176446708964637,-0.00800411235101256,-0.0152493115443005,0.0200541631434593,-0.00971296195606923,-0.014924350156712,253260.325114465,278263.538653613,11902.91111824,543426.774886318
49,0.237393794964277,0.000336741146356465,0.00131154474430755,-0.0428369861226926,-0.024411098972706,0.000488854678140387,2.32870150614612,2.6247886515284,1,0,0,0,0,0,0,3.64069188189959,2.97210551216789,0.0177561749256716,-0.00860696290706442,-0.0145971441992844,0.0200669474622698,-0.0102649318720469,-0.0142912884961383,253476.602982475,277048.662208063,11903.2797016385,542428.544892176
